src_uid;dst_uid
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-ZIP"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-DOB-YYYY-MM-DD"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-EFT-ACCOUNT-ID"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-FICO-CREDIT-SCORE"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-FIRST-NAME"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-GOVT-ISSUED-ID"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-ID"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-LAST-NAME"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-MIDDLE-NAME"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-PHONE-NUM-1"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-PHONE-NUM-2"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-PRI-CARD-HOLDER-IND"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUST-SSN"
"COPYBOOK:::CVCUS01YFAKE:::CVCUS01YFAKE";"VARIABLE:::CVCUS01YFAKE:::CUSTOMER-RECORD2"
