src_uid;dst_uid;level
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-DOB-YYYY-MM-DD";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-EFT-ACCOUNT-ID";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-FICO-CREDIT-SCORE";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-FIRST-NAME";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-GOVT-ISSUED-ID";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-ID";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-LAST-NAME";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-MIDDLE-NAME";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-PHONE-NUM-1";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-PHONE-NUM-2";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-PRI-CARD-HOLDER-IND";"05"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-SSN";"05"
