uid;name;span;source;code
"VARIABLE:::CBCUS01C:::FD-CUSTFILE-REC";"FD-CUSTFILE-REC";"2019:2046";"/CBCUS01C.cbl";"       01  FD-CUSTFILE-REC."
"VARIABLE:::CBCUS01C:::IO-STAT1";"IO-STAT1";"2455:2496";"/CBCUS01C.cbl";"           05  IO-STAT1            PIC X."
"VARIABLE:::CBCUS01C:::IO-STAT2";"IO-STAT2";"2497:2538";"/CBCUS01C.cbl";"           05  IO-STAT2            PIC X."
"VARIABLE:::CBCUS01C:::IO-STATUS";"IO-STATUS";"2432:2454";"/CBCUS01C.cbl";"\n       01  IO-STATUS."
"VARIABLE:::CBCUS01C:::IO-STATUS-04";"IO-STATUS-04";"2738:2762";"/CBCUS01C.cbl";"       01  IO-STATUS-04."
"VARIABLE:::CBCUS01C:::IO-STATUS-0401";"IO-STATUS-0401";"2763:2814";"/CBCUS01C.cbl";"           05  IO-STATUS-0401      PIC 9   VALUE 0."
"VARIABLE:::CBCUS01C:::IO-STATUS-0403";"IO-STATUS-0403";"2815:2866";"/CBCUS01C.cbl";"           05  IO-STATUS-0403      PIC 999 VALUE 0."
"VARIABLE:::CBCUS01C:::TIMING";"TIMING";"3123:3176";"/CBCUS01C.cbl";"       01  TIMING                  PIC S9(9) BINARY. "
"VARIABLE:::CBCUS01C:::TWO-BYTES-ALPHA";"TWO-BYTES-ALPHA";"2591:2653";"/CBCUS01C.cbl";"       01  TWO-BYTES-ALPHA         REDEFINES TWO-BYTES-BINARY."
"VARIABLE:::CBCUS01C:::TWO-BYTES-BINARY";"TWO-BYTES-BINARY";"2539:2590";"/CBCUS01C.cbl";"       01  TWO-BYTES-BINARY        PIC 9(4) BINARY."
"VARIABLE:::CBCUS01C:::TWO-BYTES-LEFT";"TWO-BYTES-LEFT";"2654:2695";"/CBCUS01C.cbl";"           05  TWO-BYTES-LEFT      PIC X."
"VARIABLE:::CBCUS01C:::TWO-BYTES-RIGHT";"TWO-BYTES-RIGHT";"2696:2737";"/CBCUS01C.cbl";"           05  TWO-BYTES-RIGHT     PIC X."
"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-COUNTRY-CD";"CUST-ADDR-COUNTRY-CD";"768:833";"/CVCUS01YFAKE.cpy";"           05  CUST-ADDR-COUNTRY-CD                    PIC X(03)."
"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-1";"CUST-ADDR-LINE-1";"495:560";"/CVCUS01YFAKE.cpy";"           05  CUST-ADDR-LINE-1                        PIC X(50)."
"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-2";"CUST-ADDR-LINE-2";"561:626";"/CVCUS01YFAKE.cpy";"           05  CUST-ADDR-LINE-2                        PIC X(50)."
"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-LINE-3";"CUST-ADDR-LINE-3";"627:701";"/CVCUS01YFAKE.cpy";"           05  CUST-ADDR-LINE-3                        PIC X(50).         "
"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-STATE-CD";"CUST-ADDR-STATE-CD";"702:767";"/CVCUS01YFAKE.cpy";"           05  CUST-ADDR-STATE-CD                      PIC X(02)."
"VARIABLE:::CVCUS01YFAKE:::CUST-ADDR-ZIP";"CUST-ADDR-ZIP";"834:899";"/CVCUS01YFAKE.cpy";"           05  CUST-ADDR-ZIP                           PIC X(10)."
