uid;name;span;source
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"CBCUS01CFAKE";"1570:1605";"/CBCUS01CFAKE.cbl"
"PROGRAM:::CBCUS01C:::CBCUS01C";"CBCUS01C";"1566:1597";"/CBCUS01C.cbl"
