src_uid;dst_uid
"PARAGRAPH:::CBCUS01CFAKE:::0000-CUSTFILE-OPEN";"DATASET:::CBCUS01CFAKE:::CUSTFILE-FILE"
"PARAGRAPH:::CBCUS01CFAKE:::1000-CUSTFILE-GET-NEXT";"DATASET:::CBCUS01CFAKE:::CUSTFILE-FILE"
"PARAGRAPH:::CBCUS01CFAKE:::9000-CUSTFILE-CLOSE";"DATASET:::CBCUS01CFAKE:::CUSTFILE-FILE"
"PROGRAM:::CBCUS01CFAKE:::CBCUS01CFAKE";"DATASET:::CBCUS01CFAKE:::CUSTFILE-FILE"
"PARAGRAPH:::CBCUS01C:::0000-CUSTFILE-OPEN";"DATASET:::CBCUS01C:::CUSTFILE-FILE"
"PARAGRAPH:::CBCUS01C:::1000-CUSTFILE-GET-NEXT";"DATASET:::CBCUS01C:::CUSTFILE-FILE"
"PARAGRAPH:::CBCUS01C:::9000-CUSTFILE-CLOSE";"DATASET:::CBCUS01C:::CUSTFILE-FILE"
"PROGRAM:::CBCUS01C:::CBCUS01C";"DATASET:::CBCUS01C:::CUSTFILE-FILE"
