src_uid;dst_uid;kind
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-MIDDLE-NAME";"child"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-PHONE-NUM-1";"child"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-PHONE-NUM-2";"child"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-PRI-CARD-HOLDER-IND";"child"
"VARIABLE:::CVCUS01Y:::CUSTOMER-RECORD";"VARIABLE:::CVCUS01Y:::CUST-SSN";"child"
"VARIABLE:::CBCUS01CFAKE:::APPL-RESULT";"VARIABLE:::CBCUS01CFAKE:::APPL-AOK";"condition"
"VARIABLE:::CBCUS01CFAKE:::APPL-RESULT";"VARIABLE:::CBCUS01CFAKE:::APPL-EOF";"condition"
"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT1";"child"
"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STATUS";"VARIABLE:::CBCUS01CFAKE:::CUSTFILE-STAT2";"child"
"VARIABLE:::CBCUS01CFAKE:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01CFAKE:::FD-CUST-DATA";"child"
"VARIABLE:::CBCUS01CFAKE:::FD-CUSTFILE-REC";"VARIABLE:::CBCUS01CFAKE:::FD-CUST-ID";"child"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS";"VARIABLE:::CBCUS01CFAKE:::IO-STAT1";"child"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS";"VARIABLE:::CBCUS01CFAKE:::IO-STAT2";"child"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-04";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0401";"child"
"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-04";"VARIABLE:::CBCUS01CFAKE:::IO-STATUS-0403";"child"
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-LEFT";"child"
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-ALPHA";"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-RIGHT";"child"
"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-BINARY";"VARIABLE:::CBCUS01CFAKE:::TWO-BYTES-ALPHA";"redefinition"
