uid;name;span;source
"PROGRAM:::CBLDB23:::CBLDB23";"CBLDB23";"242:388";"/cbl/CBLDB23.cbl"
"PROGRAM:::CBLDB21:::CBLDB21";"CBLDB21";"242:388";"/cbl/CBLDB21.cbl"
"PROGRAM:::CBLDB22:::CBLDB22";"CBLDB22";"242:388";"/cbl/CBLDB22.cbl"
