uid;name;span;source
"DATASET:::CBLDB22:::RECIN";"RECIN";"900:972";"/cbl/CBLDB22.cbl"
"DATASET:::CBLDB22:::REPOUT";"REPOUT";"827:899";"/cbl/CBLDB22.cbl"
"DATASET:::CBLDB23:::CARDIN";"CARDIN";"1046:1191";"/cbl/CBLDB23.cbl"
"DATASET:::CBLDB23:::REPOUT";"REPOUT";"900:1045";"/cbl/CBLDB23.cbl"
"DATASET:::CBLDB21:::REPOUT";"REPOUT";"900:1045";"/cbl/CBLDB21.cbl"
