uid;name;span;source
"DBCURSOR:::CBLDB22:::CUR1";"CUR1";"5573:6010";"/cbl/CBLDB22.cbl"
"DBCURSOR:::CBLDB22:::CUR2";"CUR2";"6011:6448";"/cbl/CBLDB22.cbl"
"DBCURSOR:::CBLDB23:::CUR1";"CUR1";"5354:5791";"/cbl/CBLDB23.cbl"
"DBCURSOR:::CBLDB23:::CUR2";"CUR2";"5792:6156";"/cbl/CBLDB23.cbl"
"DBCURSOR:::CBLDB21:::CUR1";"CUR1";"4332:4769";"/cbl/CBLDB21.cbl"
